region,variable,intervention,hi,lo,mean
Global,households visited,Under 5 & HIV+ve,53.9811716754226,45.5877269296534,49.9642924489574
Global,households visited,Under 5 & HIV+ve & LTBI+,51.6191548477422,43.6966072404088,47.7607844883502
Global,children screened,Under 5 & HIV+ve,87.3737899687972,74.0935327409035,80.8789112185277
Global,children screened,Under 5 & HIV+ve & LTBI+,83.3237867127621,70.8728509917783,77.3118157146062
Global,PT courses,Under 5 & HIV+ve,27.0681185720668,22.6280177329844,24.9227910802522
Global,PT courses,Under 5 & HIV+ve & LTBI+,52.2494111009686,44.2375433283097,48.4601125944877
Global,anti-TB treatments,Under 5 & HIV+ve,2.74217450637005,2.39150693295627,2.58195806609648
Global,anti-TB treatments,Under 5 & HIV+ve & LTBI+,2.06813265744153,1.62762357086206,1.85483296266224
