region,variable,intervention,hi,lo,mean
Global,households visited,Under 5 & HIV+ve,85.9557350291147,70.3657320946513,78.6960876726255
Global,households visited,Under 5 & HIV+ve & LTBI+,34.6061442591467,29.7738856626146,32.3604772177198
Global,children screened,Under 5 & HIV+ve,140.390373807924,115.066486309774,128.153667968101
Global,children screened,Under 5 & HIV+ve & LTBI+,56.3505720722412,48.6217769649742,52.6888307643596
Global,IPT courses,Under 5 & HIV+ve,43.0311915766494,35.4805576620745,39.5152048991466
Global,IPT courses,Under 5 & HIV+ve & LTBI+,35.3064104949228,30.588906456158,33.0366306053163
Global,anti-TB treatments,Under 5 & HIV+ve,4.63532240740571,3.42909925972723,4.09572241566041
Global,anti-TB treatments,Under 5 & HIV+ve & LTBI+,1.47490111094875,1.00184768503586,1.26758045748959
