iso3,intervention,e.ATT,e.ATT.hi,e.ATT.lo,e.ATTinc,e.ATTinc.hi,e.ATTinc.lo,e.ATTprev,e.ATTprev.hi,e.ATTprev.lo,e.cases,e.cases.hi,e.cases.lo,e.deathinc,e.deathinc.hi,e.deathinc.lo,e.deathprev,e.deathprev.hi,e.deathprev.lo,e.deaths,e.deaths.hi,e.deaths.lo,e.hhc,e.hhc.hi,e.hhc.lo,e.incidence,e.incidence.hi,e.incidence.lo,e.IPT,e.IPT.hi,e.IPT.lo,e.LE,e.LE.hi,e.LE.lo,e.LTBI,e.LTBI.hi,e.LTBI.lo,e.prevalent,e.prevalent.hi,e.prevalent.lo,household.visits
ABW,No intervention,0.054096099577824,0,0,0.0145745549073141,0,0,0.0395215446705099,0,0,0.110360818847393,0.256058436967268,0,0.00449278067973665,0.000925816239884815,0,0.0116452535852899,0.00269077141978117,0,0.0161380342650266,0.0036635103550402,0,0,0,0,0.0299724103169907,0.0566837857940862,0,0,0,0,163.772691620782,305.130876330631,0,0.402944798659436,0.635598238816883,0,0.0803884085304027,0.183564579521178,0,0
ABW,Under 5 & HIV+ve,0.0912633362278332,0.197678684851938,0,0.0108749276974305,0,0,0.0803884085304027,0.183564579521178,0,0.10240532420445,0.218040875089882,0,0.00255222009748662,0.00056730716958343,0,0.00120100603634602,0.00178955912515168,0,0.00375322613383264,0.00343812861560132,0,2.33853258945796,4.13535906139243,0,0.0220169156740471,0.0242735691097268,0,0.662395262917475,0,0,164.679048823347,308.802908255504,0,0.402944798659436,0.635598238816883,0,0.0803884085304027,0.183564579521178,0,14
ABW,Under 5 & HIV+ve & LTBI+,0.0859388821362812,0.195407473753246,0,0.00555047360587845,0,0,0.0803884085304027,0.183564579521178,0,0.0917928036878771,0.211581827507377,0,0.00170307436801344,0.000335684311189048,0,0.00120100603634602,0.00178955912515168,0,0.00290408040435946,0.00300784901536402,0,2.33853258945796,4.13535906139243,0,0.0114043951574744,0.018051248994571,0,0.955475080446744,1.73929577080556,0,164.737386450816,308.802908255504,0,0.402944798659436,0.635598238816883,0,0.0803884085304027,0.183564579521178,0,14
AFG,No intervention,856.897325549454,0.238107471175307,0,217.003721677325,0.10246787450858,0,639.893603872129,0.129624403480458,0,1672.11119219597,3317.9745228392,0,56.3352419648752,12.9269808672188,0,165.775554390323,37.7563702678575,0,222.110796355198,52.203960304522,0,0,0,0,421.875497365551,789.523768703961,0,0,0,0,840943.433419988,1674659.28689675,0,6081.09120490025,8759.15356392234,0,1250.23569483042,2182.02904623293,0,0
AFG,Under 5 & HIV+ve,1416.08311706478,2521.22313579771,0,165.847422234361,0.0351993529325693,0,1250.23569483042,2182.02904623293,0,1572.78208894782,2867.20336944547,0,34.1371770601162,8.71386507385066,0,18.1304860631338,23.1891639312849,0,52.26766312325,47.5646317175295,0,14103.3185659427,27397.2408196273,0,322.546394117406,318.748469510319,0,4123.10177112964,1.52814769557365,0,851467.662592984,1723361.84287383,0,6081.09120490025,8759.15356392234,0,1250.23569483042,2182.02904623293,0,31234
AFG,Under 5 & HIV+ve & LTBI+,1330.47091089113,2392.11349368532,0,80.2352160607132,0.0351993529325693,0,1250.23569483042,2182.02904623293,0,1408.42331705437,2619.41072563914,0,21.4655646407254,4.32180357427291,0,18.1304860631338,23.1891639312849,0,39.5960507038593,41.873984588277,0,14103.3185659427,27397.2408196273,0,158.18762222395,256.043173562066,0,8739.25106224476,23760.3475225853,0,852219.702800607,1723361.84287383,0,6081.09120490025,8759.15356392234,0,1250.23569483042,2182.02904623293,0,31234
AGO,No intervention,2334.76191893429,3217.06270579928,0,626.664036489637,861.170112270311,0,1708.09788244465,2084.38131395394,0,3643.94312498654,7402.64884605694,0,148.017140857965,113.583073477898,0,351.137739572128,229.273889941149,0,499.154880430093,350.419545004397,0,0,0,0,993.916328829571,1944.93779761275,0,0,0,0,1622440.00742897,3397900.10623634,0,12689.1274777776,20092.4794673886,0,2650.02679615697,4762.82296793571,0,0
AGO,Under 5 & HIV+ve,3159.98191802133,5764.19963191719,0,509.955121864358,306.680891158713,0,2650.02679615697,4762.82296793571,0,3364.90046563457,6361.83824703157,0,68.3489635123566,77.2483679192312,0,43.3735582678801,48.8614524997925,0,111.722521780237,162.144111584072,0,29711.781577605,63104.466939878,0,714.873669477597,787.687478588454,0,9728.36677209753,651.570478363102,0,1644119.44053453,3509344.76762048,0,12689.1274777776,20092.4794673886,0,2650.02679615697,4762.82296793571,0,55100
AGO,Under 5 & HIV+ve & LTBI+,2889.03434580855,5275.97884115381,0,239.007549651581,275.066272613812,0,2650.02679615697,4762.82296793571,0,3028.00929058132,5740.86026593227,0,56.1208660080231,43.0230203729568,0,43.3735582678801,48.8614524997925,0,99.4944242759033,109.42746209512,0,29711.781577605,63104.466939878,0,377.982494424347,590.836856642577,0,18941.4711208483,51841.3312057802,0,1644795.1778587,3509344.76762048,0,12689.1274777776,20092.4794673886,0,2650.02679615697,4762.82296793571,0,55100
AIA,No intervention,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
