intervention,iso3,acat,e.ATT,e.ATT.hi,e.ATT.lo,e.ATTinc,e.ATTinc.hi,e.ATTinc.lo,e.ATTprev,e.ATTprev.hi,e.ATTprev.lo,e.cases,e.cases.hi,e.cases.lo,e.deathinc,e.deathinc.hi,e.deathinc.lo,e.deathprev,e.deathprev.hi,e.deathprev.lo,e.deaths,e.deaths.hi,e.deaths.lo,e.hhc,e.hhc.hi,e.hhc.lo,e.incidence,e.incidence.hi,e.incidence.lo,e.IPT,e.IPT.hi,e.IPT.lo,e.LE,e.LE.hi,e.LE.lo,e.LTBI,e.LTBI.hi,e.LTBI.lo,e.prevalent,e.prevalent.hi,e.prevalent.lo
No intervention,AND,"[5,15)",0.0081751418018233,0,0,0.00193196200455973,0,0,0.00624317979726357,0,0,0.0168629457992431,0.0383708556838068,0,0.000326081722292961,8.02476157031543e-05,0,0.00106270356463298,0.000280433154989179,0,0.00138878528692594,0.000379609693149894,0,0,0,0,0.00396799657814036,0.007417685684986,0,0,0,0,31.4130286652884,80.6546578164774,0,0.0799242625311769,0.185586702731601,0,0.0128949492211028,0.0280184867140184,0
No intervention,ARE,"[0,5)",0.130279266571365,0.00871066837668816,0,0.0371636595391293,0.00363062784307996,0,0.0931156070322356,0.00488995387509582,0,0.261731654149972,0.65684917324925,0,0.0170071110824884,0.00451987978630638,0,0.0440433194888921,0.0104772318466665,0,0.0610504305713805,0.0146355862537877,0,0,0,0,0.0735499580961148,0.134177924258277,0,0,0,0,303.869670681432,832.534569885603,0,0.620315453608739,1.4399068742976,0,0.188181696053857,0.481797112417405,0
No intervention,ARE,"[5,15)",0.211051835572064,0.46553276598631,0,0.0544689779241656,0.100957345418295,0,0.156582857647898,0.333942808703874,0,0.28174082869513,0.673361718388398,0,0.00332890753834785,0.00445104086235607,0,0.00952329726039102,0.0143292723507551,0,0.0128522047987389,0.0194909878344672,0,0,0,0,0.0723659739894711,0.145708967464702,0,0,0,0,511.622047695071,1419.38354148366,0,1.29016023011264,3.19065648803827,0,0.209374854705659,0.478164344842667,0
No intervention,ARG,"[0,5)",115.887695218914,249.064301857375,4.51051055473898,32.0858844458015,54.471886644923,2.09255047381909,83.8018107731129,174.386862918561,2.44688221809467,129.664087829239,292.145748444369,5.03967223886854,3.43405535587821,4.53829004038618,0.457569926073267,6.91671309570045,5.348904166141,0.559479495048093,10.3507684515787,9.83032967303674,1.08135714065468,0,0,0,35.951860859035,64.2406847349923,2.32388510357777,0,0,0,71426.0576265547,194781.981779872,1929.01010247445,303.758624981246,802.692464571689,8.56834930049851,93.712226970204,201.166331737393,2.73688120319484
No intervention,ARG,"[5,15)",193.907070804911,372.627714471531,4.91929649289751,47.2443875180087,87.9132644251646,2.10041485412973,146.662683286903,234.33991374138,2.36355697676419,199.659164760383,381.914516745726,4.97521384502633,1.17444278065227,1.60935646813686,0.181908360035383,2.29498896895098,2.31604229923917,0.185112376605944,3.46943174960325,4.19171099742645,0.428322555221683,0,0,0,48.6630372939433,90.6643217237982,2.15200797690694,0,0,0,125143.943528999,346485.994207788,2157.88040386461,873.805274332845,2310.49785448115,15.5136213118033,150.996127466439,242.968829046188,2.45697637277957
No intervention,ARM,"[0,5)",1.3250645397656,2.88650833384365,0,0.343070294515805,0.636202886491594,0,0.981994245249791,2.00355519358267,0,10.2534791148106,24.005975885785,0,1.02213784210962,2.05628278924005,0,2.92879501424594,6.35877917238052,0,3.95093285635557,9.21933487723275,0,0,0,0,2.65114042703503,5.39882662523951,0,0,0,0,5373.2898690257,14872.2564520342,0,24.3040475477005,65.7129352451898,0,7.6023386877756,16.6135039262362,0
No intervention,ARM,"[5,15)",5.18309538407925,9.37474770585587,0,1.20375611786643,2.24870173639022,0,3.97933926621282,5.97375798583269,0,15.6910654775471,30.045200134333,0,0.382525453986189,0.738530112394834,0,1.25697672656574,1.93412406817036,0,1.63950218055193,3.03324191032315,0,0,0,0,3.63550406432324,7.4643083839515,0,0,0,0,9736.39117671748,27075.8898712666,0,70.4591107504955,186.591595240458,0,12.0555614132238,19.3984207237468,0
No intervention,ASM,"[0,5)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No intervention,ASM,"[5,15)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No intervention,ATG,"[0,5)",0.0114057090276312,0,0,0.00312399645063671,0,0,0.00828171257699449,0,0,0.0216058206301813,0.0513143326368403,0,0.00127895998436236,0.00027619270330048,0,0.00344550873735289,0.00086062130124029,0,0.00472446872171526,0.00114927760981088,0,0,0,0,0.00588100140986368,0.0109096458409644,0,0,0,0,25.1184692337127,64.0803112053746,0,0.0518160228225431,0.116978224879014,0,0.0157248192203176,0.0379443498347586,0
